Acronym,Translation
jit,just in time
yas,you are stupid
npnt,"no picture, no talk"
yag,you are gay
yaf,you're a freak
h8te,hate
oti,on the internet
otl,out to lunch
otc,off the chain
suabq,shut up and be quiet
otp,on the phone
watz ^,what's up
ots,over the shoulder
ott,over the top
otw,on the way
wtfay,who the fuck are you
ur2g,you are too good
ownt,made to look bad
ihiwydt,i hate it when you do that
nawidt,never again will i do that
ownz,owns
afkb,away from keyboard
wkd,wicked
bcurl8,because you're late.
tgsttttptct,thank god someone took the time to put this crap together
fubah,fucked up beyond all hope
nmhu,"nothing much here, you?"
fubar,fucked up beyond all recognition
nmhm,"nothing much here, man"
http,hyper text transfer protocol
31ee7,elite
dyw2gwm,do you want to go with me
welc,welcome
srsly,seriously
rifk,rolling on the floor laughing
btsoom,beats the shit out of me
daii,day
doncha,don't you
nr4u,not right for you
detai,don't even think about it
gngbng,gang bang
idunno,i do not know
i c,i see
natm,not at the minute
vids,videos
mbfal,my best friend and lover
ihmp,i hate my parents
hcib,how can it be
sokay,it's okay
ihml,i hate my life
imed,instant messaged
rotw,rest of the world
ilbcnu,i'll be seeing you
siggy,signature
rotg,rolling on the ground
rotf,rolling on the floor
jlt,just like that
ilymtylm,i love you more than you love me
homo,homosexual
s.w.a.k.,sealed with a kiss
wthdydt,why the hell did you do that
bewbz,boobs
bewbs,boobs
cwyl,chat with ya later
omgwtfbbq,"oh my god, what the fuck"
idyat,idiot
pzled,puzzled
p^s,parent over shoulder
dum,dumb
mofo,mother fucker
h8,hate
h9,husband in room
h2,halo 2
bsod,blue screen of death
hwms,hot wild monkey sex
hy,hell yeah
gaoep,generally accepted office etiquette principles
hr,hour
hs,headshot
tmtoyh,too much time on your hands
hv,have
hw,homework
ht,heard through
hu,hey you
hj,hand job
sumone,someone
hl,half-life
swp,sorry wrong person
hb,hurry back
xplaned,explained
c.y.a,cover your ass
hf,have fun
hg,hockeygod
celly,cell phone
shmexy,sexy
gtas,go take a shit
dmi,don't mention it
dmn,damn
po,piss off
dmu,don't mess up
jumping the couch,acting strange
omgwtfnipples,"on my god, what the fuck"
dmy,don't mess yourself
u've,you've
imao,in my arrogant opinion
ilyal,i like you a lot
nookie,sex
urnc,you are not cool
tyme,time
posmbri,parent over shoulder might be reading it
10tacle,tentacle
wamh,with all my heart
dylm,do you love me
8008,boob
dylh,do you like him
foia,freedom of information act
bch,bitch
hng,horny net geek
bck,back
mmorpg,massively multiplayer online role playing game
bfitww,best friend in the whole world
msgs,messages
rpita,royal pain in the ass
4geit,forget it
negl,not even going to lie
im26c4u,i am too sexy for you
swak,sealed with a kiss
aup,acceptable use policy
sexilicious,very sexy
rufkm,are you fucking kidding me
dilligad,do i look like i give a damn
kthanxbi,"okay, thanks. bye."
omgny,oh my god no way
neway,anyway
sumfin,something
iebkac,issue exists between keyboard and chair
voip,voice over ip
skillz,skills
wyatb,wish you all the best
lol2u,laugh out loud to you
inbd,it's no big deal
upw,unidentified party wound
nemore,anymore
10x,thanks
nthg,nothing
me2,me too
10q,thank you
nthn,nothing
qtpi,cutie pie
nei,not enough information
nmwh,no matter what happens
asic,application specific integrated circuit
h&k,hugs and kisses
bnib,brand new in box
ncaa,national collegiate athletic association
fcuk,fuck
esadyffb,eat shit and die you fat fucking bastard
wrdo,weirdo
meh,whatever
jfgi,just fucking google it
rcsa,right click save as
noyb,none of your business
gthmf,go to hell mothafucka
drm,dream
drc,don't really care
fker,fucker
ne1,anyone
iwsul8r,i will see you later
wieu2,what is everyone up to
cyl8,see you later
waug,where are you going
lwn,last week's news
typo,typing mistake
sumthin',something
biatch,bitch
ydpos,you dumb piece of shit
ciwwaf,cute is what we aim for
wyas,wow you are stupid
dunna,i don't know
myofb,mind your own fucking business
r8t,rate
fking,fucking
ygg,you go girl
ygm,you got mail
lmaootf,laughing my ass off on the floor
fuxored,fucked
homie,good friend
iawy,i agree with you
ygp,you got  punked!
mml8r,meet me later
piihb,put it in her butt
ufmf,you funny mother fucker
stfugbtw,shut the fuck up and get back to work
bbml,be back much later
ova,over
natch,naturally
ityltk,i thought you'd like to know
vfm,value for money
vff,verry fucking funny
brbbrb,br right back bath room break
wuv,love
wut,what
wuz,was
icydk,in csae you didn't know
sqtm,snickering quietly to myself
fifo,"first in, first out"
wub,love
wud,would
fify,fixed it for you
lmso,laughing my socks off
2morow,tomorrow
nmjc,"not much, just chillin'"
nmjb,nothing much just bored
roflmaool,rolling on the floor laughing my ass off out loud
twbc,that would be cool
tthb,try to hurry back
iigh,alright
bonr,boner
but6,buttsex
dawg,friend
lmfho,laughing my fucking head off
ilbbaicnl,i like big butts and i can not lie
ydtm,you're dead to me
smthin,something
fotm,flavour of the month
2tali,totally
fave,favorite
tlgo,the list goes on
dprsd,depressed
iss,im so sorry
kiled,killed
isp,internet service provider
isj,inside joke
iso,in search of
imnerho,in my not even remotely humble opinion
isg,i speak geek
sfam,sister from another mother
ise,internal server error
isd,internet slang dictionary
ofwg,old fat white guys
widout,without
jja,just joking around
wthwut,what the hell were you thinking
wubu2,what you been up to
p@w,parents are watching
tmoz,tomorrow
tarfu,things are really fucked up
bbrs,be back really soon
aicmfp,and i claim my five pounds
usck,you suck
aiight,all right
cuwul,catch up with you later
urstu,you are stupid
rofllh,rolling on the floor laughing like hell
lsudi,lets see you do it
pbly,probably
p/oed,pissed off
mins,minutes
fmltwia,fuck me like the whore i am
tyl,text you later
tym,time
prty,party
tyt,take your time
typ,thank you partner
tys,told you so
tldnr,"too long, did not read"
don,denial of normal
dob,date of birth
3arc,treyarch
doa,dead on arrival
m,am
dod,day of defeat
doodz,dudes
iwfybo,i will fuck your brains out
dos,denial of service
idnwths,i do not want to have sex
syiab,see you in a bit
syiaf,see you in a few
wayut,what are you up to
sowi,sorry
g2cu,glad to see you
probz,probably
tyvvm,thank you very very much
wtly,welcome to last year
gangsta,gangster
glhf,good luck have fun
bau,back at you
ietf,internet engineering task force
jcath,just chilling at the house
baf,bring a friend
bab,big ass boobs
tker,team killer
effing,fucking
bah,i don't really care
fbtw,fine be that way
reefer,marijuana
myke,man-dyke
a/s/l,"age,sex,location"
uryyfm,you are too wise for me
sorta,sort of
eotw,end of the world
url8,you are late
rotflol,rolling on the floor laughing out loud
omg,oh my god
omj,oh my jesus
cmplcdd,complicated
omw,on my way
omt,one more time
omy,oh my!
unt,until next time
wtfwtd,what the fuck was that dude
ashole,asshole
fny,funny
gewd,good
gsad,go suck a dick
foobar,fucked up beyond all recognition
yaai,you are an idiot
yaaf,you are a freak
idop,it depends on price
tcp/ip,transmission control protocol/internet protocol
ihat3u,i hate you
pihb,pee in his/her butt
fuah,fuck you ass hole
tinf,this is not fair
kots,keep on talking shit
chut,pussy
mcs,my computer sucks
kotc,kiss on the cheek
omginbd,"oh my god, it's no big deal"
slt,something like that
slp,sleep
slo,slow
dkdc,"don't know, don't care"
slf,sexy little fuck
tanq,thank you
iz,is
ip,internet protocol
ilshipmp,i laughed so hard i peed my pants
ih,it happens
ik,i know
ij,indide joke
im,instant message
v4g1n4,vagina
ic,i see
ib,i'm back
ig,i guess
wuwtta,what you want to talk about
ttyna,talk to you never again
f4c3,face
ttynl,talk to you never loser
ttynw,talk to you next week
ggnore,good game no rematch
i8,alright
ello,hello
cul8r,see you later
kis,keep it simple
kir,kid in room
wycm,will you call me
kiu,keep it up
kit,keep in touch
kic,keep it clean
kib,"okay, im back"
kia,killed in action
kig,keep it going
ommfg,oh my mother fucking god
ycliu,you could look it up
neday,any day
myodb,mind your own damn business
juss,just
bb4n,bye-bye for now
bb4h,bros before hoes
yea,yeah
yer,you're
is2g,i swear to god
yew,you
dvda,"double vaginal, double anal"
g3y,gay
b/s/l,bisexual/straight/lesbian
wypsu,will you please shut up
str8up,straight up
bbol,be back online later
brt,be right there
cawk,cock
tmrw,tomorrow
roflmgdao,rolling on the floor laughing my god damn ass off
nafkam,not away from keyboard any more
tmrz,tomorrow
icbiwoop,"i chuckled, but it was out of pity."
nmhwby,nothing much here what about you
wwt,what was that
www,world wide web
rotflmbo,rolling on the floor laughing my butt off
g2gpp,got to go pee pee
wwy,where were you
sktr,skater
@$$hole,asshole
g2gpc,got 2 go parents coming
wwc,who would care
gypo,get your penis out
sux2bu,sucks to be you
rubz2nt,are you busy tonight
f.m.l.,fuck my life
promos,promotions
ihurg,i hate your guts
zup,what's up?
smdvq,suck my dick quickly
tyred,tired
liec,like i even care
liek,like
lggd,let's go get drunk
cuom,see you on monday
atfp,answer the fucking phone
b0rked,broken
soml,story of my life
lol@u,laugh out loud at you
what^,what's up?
ihac,i have a customer
wtwr,well that was random
tcial,the cake is a lie
m3,me
tbtfh,to be totally freaking honest
dttml,don't talk to me loser
afcpmgo,away from computer parents may go on
xoac,christ on a crutch
s.o.b.,son of a bitch
a1t,anyone there
kwim,know what i mean
goyhh,get off your high horse
kmsl,killing myself laughing
kwik,quick
shiz,shit
kwit,quit
kwis,know what i'm saying?
kwiz,quiz
diez,dies
syatp,see you at the party
cu2nit,see you tonight
s2bu,sucks to be you
roflmmfao,rolling on the floor laughing my mother fucking ass off
twajs,"that was a joke, son."
fsm,flying spaghetti monster
fsr,for some reason
fst,fast
nkt,never knew that
figjam,"fuck i'm good, just ask me"
pbjt,peanut butter jelly time
wiid,what if i did
milf,mom i'd like to fuck
hwik,how would i know
nttiawwt,not that there is anything wrong with that.
innit,isn't it
cluebie,clueless newbie
nething,anything
dil,daughter in law
ilywamh,i love you with all my heart
din,didn't
lappy,laptop
dih,dick in hand
codbo,call of duty: black ops
wtfrudng,what the fuck are you doing
jhm,just hold me
jho,just hanging out
dic,do i care
diy,do it yourself
dit,details in thread
dis,this
lolci,"laughing out loud, crying inside"
i<3u,i love you
yodo,you only die once
ssia,subject says it all
arvo,afternoon
addy,address
dylos,do you like oral sex
hhyb,how have you been
ihusfm,i hate you so fucking much
oiyd,only in your dreams
hbd,happy birthday
bos,boss over shoulder
boi,boy
bol,barking out loud
hbu,how about you
noygdb,none of your god damn business
iunno,i don't know
rur,are you ready
ians,i am not sure
ayl,are you listening
ayk,are you kidding
ayd,are you done
roflpmp,rolling on the floor laughing peeing my pants
ayc,awaiting your comments
ayb,all your base
perv,pervert
ayt,are you there
ayw,as you wish
thru,through
ays,are you serious
tmrrw,tomorrow
w/out,without
ooc,out of character
oob,out of buisness
oom,out of mana
ooo,out of the office
yhtbt,you had to be there
oow,on our way
ymrasu,"yes, my retarded ass signed up"
tok2ul8r,i'll talk to you later
fmsh,fuck me so hard
waysw,why are you so weird
thr4,therefore
fmuta,fuck me up the ass
iucmd,if you catch my drift
stfuppercut,shut the fuck up
hwmbo,he who must be obeyed
tt4n,ta ta for now
ttfaf,through the fire and flames
q4u,question for you
crazn,crazy asian
6flx,x-rated movie (sex flick)
lbnr,laughing but not really
pino,filipino
nyp,not your problem
yaagf,you are a good friend
oslt,or something like that
nyc,new york city
tilf,teenager i'd like to fuck
nyf,not your fault
snf,so not fair
143,i love you
snl,saturday night live
imysfm,i miss you so fucking much
grog,beer
iiwii,it is what it is
mai,my
mah,my
mao,my ass off
ojsu,"oh, just shut up!"
noub,none of your business
ny1,anyone
neida,any idea
im'd,instant messaged
lsr,loser
ttylo,talk to you later on
igtkya,im going to kick your ass
l8ers,later
thanx,thank you
cul8tr,see you later
ttylt,talk to you later today
ilotibinlirl,"i'm laughing on the internet, but i'm not laughing in real life"
thanq,thank you
kky,kinky
iokiya,it's ok if you are
gfe2e,grinning from ear to ear
kkk,ku klux klan
cut3,cute
ysitm,your shirt is too small
hijack,start an off topic discussion
nntst,no need to say thanks
bizzle,bitch
iasb,i am so bored
lolarotf,laughing out loud and rolling on the floor
bruva,brother
phux,fuck
piitb,put it in the butt
dwioyot,deal with it on your own time
ufab,ugly fat ass bitch
hcihy,how can i help you
phun,fun
bbim,be back in minute
gotc,get on the computer
ajax,asynchronous javascript and xml
yesh,yes
byeas,good-bye
rtfmm,read the fucking manual moron
rtfms,read the fucking manual stupid
nuff,enough
roflmfaopmp,rolling on flor laughing my fucking ass of peeing my pants
oohm,out of his/her mind
rlbf,real life boy friend
hmwrk,homework
wthyi,what the hell you idiot
lmmffao,laughing my mother fucking fat ass off
mflfs,married female looking for sex
yasan,you are such a nerd
l2ms,laughing to myself
ttly,totally
dbafwtt,don't be a fool wrap the tool
instakill,instant kill
eyez,eyes
bobw,best of both worlds
gotta,got to
orgy,orgasm
thwdi,thats how we do it
dass,dumb ass
gnos,get naked on screen
cuic,see you in class
wtfits,what the fuck is this shit
gnoc,get naked on cam
swmt,stop wasting my time
imoo,in my own opinion
iistgtbtipi,if it sounds too good to be true it probably is
iwg,it was good
iwc,in which case
roflmfao,rolling on the floor laughing my fucking ass off
iwk,i wouldn't know
iwu,i want you
iws,i want sex
purty,pretty
tisfu,that is so fucked up
tlkn,talking
iwy,i want you
phuk,fuck
wjwd,what jesus would do
wduc,what do you care
ttbomk,to the best o fmy knowledge
wdum,what do  you mean
lmaonade,laughing my ass off
kwtsds,kiss where the sun don't shine
wduw,what do you want
wdut,what do you think?
wdus,what did you say
youngin,young person
incrse,increase
pt33n,preteen
iitywybmad,"if i tell you, will you buy me a drink?"
wnkr,wanker
dick,penis
2mw,tomorrow
chswmrn,come have sex with me right now
2mz,tomorrow
gey,gay
911sc,emergency let's stop chatting
2ma,tomorrow
2mo,tomorrow
bubar,bushed up beyond all recognition
lyfe,life
gmabj,give me a blowjob
gagp,go and get pissed
sleepin,sleeping
dmba*,dumbass
t8st,taste
gagf,go and get fucked
nntr,no need to reply
aslop,age sex location orientation picture
kool,cool
jp,just playing
jw,just wondering
tut,take your time
js,just saying
tuh,to
jm,just messing
jh,just hanging
jj,just joking
jk,just kidding
jf,just fooling
jb,jailbait
jc,just curious
jfk,just fucking kidding
jfj,jump for joy
jfi,just forget it
jfo,just fuck off
jfn,just for now
jfl,just for laughs
jfc,jesus fucking christ
jfg,just for giggles
jff,just for fun
jfr,just for reference
jfu,just for you
lolaw,laugh out loud at work
m8t's,friends
ywud,yo whats up dude
4e&e,forever and ever
ph33r,fear
awsome,awesome
jking,joking
snew,what's new
wowzers,wow
snes,super nintendo entertainment system
imu,i miss you
secks,sex
bma,best mates always
bmf,be my friend
myaly,miss you and love you
bml,bless my life
imy,i miss you
bttyl,be talking to you later
ftfy,fixed that for you
hdu,how dare you
ti2o,that is too obious
ftfw,for the fucking win!
iltf,i love to fuck
ftfa,from the fucking article
rotgl,roll on the ground laughing
stfuyb,shut the fuck up you bitch
myob,mind your own business
mngmt,management
ehlp,help
pas,parent at side
paw,parents are watching
pae,pimpin aint easy
pag,parents are gone
pah,parents at home
sfwuz,safe for work until zoomed
oic,"oh, i see"
dfw/m,don't fuck with me
ftmfw,for the mother fucking win
witwu,who is there with you
biwm,bisexual white male
idrfk,i don't really fucking know
urht,you're hot
idke,i don't know ethier
bnol,be nice or leave
idkh,i don't know how
idkw,i don't know why
wysiayg,what you see is all you get
miwnlf,mom i would not like to fuck.
wyauimg,why you all up in my grill?
idky,i don't know you
wygwm,will you go with me
tif2m,this is fucking 2 much
4,for
sahm,stay at home mom
mos,mom over shoulder
mor,more
moh,medal of honor
mol,more or less
mof,matter of fact
wht^,what up
omgz,oh my god
bmay,between me and you
gtfuotb,get the fuck up out this bitch
omgd,oh my gosh dude
jgiyn,just google it you noob
omgf,oh my god...fuck!
omgn,oh my goodness
gnrn,get naked right now
w.o.w.,world of warcraft
brbigtp,"be right back, i got to pee."
kmb,kiss my butt
kma,kiss my ass
pebmac,problem exist between monitor and chair
kmn,kill me now
kml,killing myself laughing
outa,out of
kmp,kill me please
mwah,kiss
ilusm,i love you so much
skeet,ejaculate
3y3 y4m,i am
irhtgttbr,i really have to go to the bathroom
spk2ul8r,speak to you later
bsmfh,bastard system manager from hell
ntbn,no text-back needed
nafta,north american free trade agreement
slng,slang
c 2 c,cam to cam (webcams)
dsided,decided
dnimb,dancing naked in my bra
shrn,so hot right now
lmaorotf,laughing my ass off rolling on the floor
ijpmp,i just peed my pants
ijpms,i just pissed myself
roffle out loud,rolling on the floor laughing out loud
sorreh,sorry
roflpimp,rolling on the floor laughing pissing in my pants
supposably,supposedly
gork,god only really knows
urcrzy,you are crazy
lukin,looking
hhiadb,holy hole in a donut batman
na4w,not appropriate for work
cihswu,can i have sex with you
wuts,what is
deez,these
h2sys,hope to see you soon
tl8r,talk later
fibijar,"fuck it buddy, i'm just a reserve"
omfwtg,oh my fuck what the god?
effin,fucking
tbpfh,to be perfectly fucking honest
gurlz,girls
fnpr,for no particular reason
poidnh,pics or it did not happen
wtityb,"whatever, tell it to your blog"
ilylafklc,i love you like a fat kid loves cake
imtaw,it may take a while
iwthswy,i want to have sex with you
u,you
alright,all right
cre8or,creator
suyah,shut up you ass hole!
imma,i'm going to
hakas,have a kick ass summer
ilylas,i love you like a sister
etla,extended three letter acronym
bestie,best friend
ilylab,i love you like a brother
hyb,how you been
wsb,wanna cyber?
wsf,we should fuck
wsi,why should i
hyk,how you know
brover,brother
gd,good
wthrud,what the hell are you doing?
ykywywm,you know you wish you were me
hvnt,haven't
wmao,working my ass off
2k5,2005
2k6,2006
2k7,2007
2k0,2000
rowyco,rock out with your cock out
2k2,2002
2k3,2003
2k8,2008
2k9,2009
ttiuwp,this thread is useless without pictures
xpect,expect
abd,already been done
diah,die in a hole
diaf,die in a fire
abt,about
lol'd,laughed out loud
butsecks,butt sex
ggp,gotta go pee
ggs,good games
watevr,whatever
tias,try it and see
ggg,"go, go, go! "
ggf,go get fucked
wateva,whatever
ggi,go google it
omgsh,oh my gosh
fwm,fine with me
hnic,head nigger in charge
fwd,forward
fwb,friends with benefits
sofas,stepping out for a smoke
fwp,first world problems
tiai,take it all in
n1994,african american
enat,every now and then
pwoms,parent watching over my shoulder
twf,that was funny
twg,that was great
twi,texting while intoxicated
amiigaf,ask me if  i give a fuck
grtg,getting ready to go
ain't,am not
dey,they
der,there
aboot,about
dem,them
cwtgypo,can't wait to get your panties off
ded,dead
ygtsr,you got that shit right
lmaoxh,laughing my ass off extremely hard
bdfl,benevolent dictator for life
lolol,saying
comin',coming
haxxzor,hacker
csl,can't stop laughing
csi,crime scene investigation
lqtm,laugh quietly to myself
rjct,reject
lqts,laughing quietly to self
hw/hw,help me with homework
ryt,right
smst,somebody missed snack time
gtfh,go to fucking hell
gtfo,get the fuck out
bka,better known as
gtfa,go the fuck away
rhgir,really hot guy in room
ygpm,you've got a private message
waz ^,what's up
gtfu,grow the fuck up
ilvu,i love you
ni994,nigga
idkwiwdwu,i don't know what i would do without you
hfn,hell fucking no
pwnzor,owner
fuhget,forget
iluwamh,i love  you with all my heart
4gai,forget about it
muvva,mother
latr,later
thnx,thanks
hght,height
ilhsm,i love him/her so much
pco,please come over
pcm,please call me
thnk,think
phlr,peace hugs love respect
latn,laugh at the newbs
@$$ #013,ass hole
pce,peace
nmjcu,"nothing much, just chilling, you?"
gooh,get out of here!
ypmf,you pissed me off
nmjch,nothing much just chilling
wtfhwt,what the fucking hell was that
ypmo,you piss me off
lvya,love you
wtfwjd,what the fuck would jesus do
wthaydwmgf,what the hell are you doing with my girlfriend
2m,tomorrow
dc'd,disconnected
idek, i don't even know
idec,i don't even care
ytmnd,"you're the man now, dog!"
prv,private
o rly,oh really
f4eaa,friends forever and always
lollercaust,an extreme event of hilarity
sdlc,software development life cycle
sbs,such bull shit
sbt,sorry bout that
beyotch,bitch
mmt,meet me there
mmw,making me wet
gday,good day
aybab2u,all your base are belong to us
mml,making me laugh
mmo,massive multiplayer online
aybab2m,all your base are belong 2 me
mmk,"umm, ok"
mmd,make my day
rcks,rocks
taht,that
po'd,pissed off
ugba,you gay bitch ass
n00b,newbie
haxz0r,hacker
gtfoomf,get the fuck out of my face
dont,don't
witwct,what is the world coming too
otflmfao,on the floor laughing my fucking ass off
bioya,blow it out your ass
igtgt,i got to go tinkle
kol,kiss on lips
koo,cool
187,murder
4ker,fucker
kos,kid over shoulder
80085,boobs
ikwud,i know what you did
syoa,save your own ass
rogl,rolling on ground laughing
dikhed,dickhead
g2g2w,got to go to work
nvmt,nevermind that
plams,parents looking at my screen
iyflg,if you're feeling less generous
pen15,penis
iight,alright
zomfg,oh my fucking god
jeomk,just ejaculated on my keyboard
whubu2,what have you been up to
chilax,chill and relax in one word
bohica,"bend over, here it comes again"
vnc,virtual network computing
tmtt,tell me the truth
2tm,to the max
vnh,very nice hand
moss,member of same sex
tmth,too much to handle
compy,computer
kb,kilobite
ka,kick ass
kk,ok
whubut,what have you been up to
ko,knock out
km,kiss me
kl,cool
ks,kill steal
kt,keep talking
fpmitap,federal pound me in the ass prison
ijcomk,i just came on my keyboard
rofflmfao,rolling on the floor laughing my fucking ass
iwbrbl@r,i will be right back later
lmks,let me know soon
ootb,out of the blue
hi2u2,hello to you too
ootd,outfit of the day
igyb,i got your back
fvck,fuck
iiok,is it okay
dat,that
jtol,just thinking out loud
jtoi,just thought of it
weve,what ever
dwmt,don't waste my time
nhatm,not here at the moment
wevr,whatever
silf,sister i'd like to fuck
bofh,bastard operator from hell
idkt,i don't know that
anwwi,alright now where was i
ytfwudt,why the fuck would you do that?
2moz,tomorrow
4g8,forget
liol,laugh insanely out loud
gdi,god damn it
13itch,bitch
iwyb,i want your body
imsb,i am so bored
ilybby,i love you baby
iwyn,i want you now
ikr,i know really
4gv,forgive
ikt,i knew that
iki,i know it
ikm,i know man
ioyk,if only you knew
ioya,i'd own your ass
alol,actually laughing out loud
alot,a lot
wdyl,who do you like
wdym,what do you mean
wwyd,what would you do?
wdye,what do you expect
wdys,what did you say
wwyt,what were you thinking
wdyt,what do you think
dctnry,dictionary
wafda,what a fucking dumb ass
bytabm,beat you to a bloody mess
yctwuw,you can think what you want
tgis,thank god it's saturday
ttiwwp,this thread is worthless without pics
gaw,grandparents are watching
pwn3r,owner
gal,get a life
gaj,get a job
gai,gay
gah,gay ass homo
gaf,good as fuck
rotflmaool,rolling on the floor laughing my ass off out loud
bilf,brother i'd like to fuck
fut,fuck you too
fuu,fuck you up
fus,fuck yourself
fuq,fuck you
convo,conversation
ilyvm,i love you very much
heya,hey
bf4eva,best friends forever
fud,"fear, uncertainty and doubt"
fub,fuck you bitch
sobs,"same, old, boring shit"
heyt,hate
roflolbag,rolling on the floor laughing out loud busting a gut
ttihlic,try to imagine how little i care
wiwt,wish i was there
ttlly,totally
lybo,laugh your butt off
xtra,extra
yatb,you are the best
h3y,hey
some1,someone
gmafb,give me a fucking break
hwga,here we go again
dga,don't go anywhere
sym,shut your mouth
syl,see you later
sys,see you soon
grvy,groovy
syu,sex you up
syt,see you there
nolm,no one loves me
jbu,just between us
howz,hows
wdydt,why do you do that
pssy,pussy
y,why
haxoring,hacking
cayc,call at your convenience
ldr,long-distance relationship
wuwtab,what do you want to talk about
cuz,because
cud,could
ygrr,you got rick rolled
cul,see you later
nekkid,naked
nwih,no way in hell
bii,bye
c|n>k,coffee through nose into keyboard
biz,business
biw,boss is watching
srynd2g,sorry need to go
alrt,alright
ftbfs,failed to build from source
ppor,post proof or recant
larp,live action role-play
pex,please explain?
good9,goodnite
iwtfu,i want to fuck you
ywywm,you wish you were me
ythwudt,why the hell would you do that
iwtfy,i want to fuck you
goml,get out of my life
omgg,oh my gosh girl
304,hoe
sblai,stop babbaling like an idiot
gomb,get off my back
ypom,your place or mine
latwttb,laughing all the way to the bank
impov,in my point of view
ufr,upon further review
oed,oxford english dictionary
urtw,you are the worst
07734,hello
icwum,i see what you mean
bish,bitch
sysop,system operator
urtb,you are the best
idgi,i don't get it
oomf,one of my followers
nsa,no strings attached
bmoc,big man on campus
wwikt,why would i know that
tifu,that is fucked up
nss,no shit sherlock
tifs,this is funny shit
wrng,wrong
tigger,tiger
wochit,watch it
fer,for
roxor,rock
incld,include
lyaaf,love you as a friend
lyaab,love you as a brother
fankle,area between foot and ankle
gdgd,good good
icgup,i can give you pleasure
sdk,software development kit
bcnul8r,be seeing you later
bbilb,be back in a little bit
lyt,love you too
wat's^,whats up
iluvya,i love you
lyf,life
lya,love you always
mthrfkr,mother fucker
lyl,love you lots
dftc,down for the count
lyk,like
imusm,i miss you so much
irtf,i'll return the favor
iwfy,i want to fuck you
ly2,love you to
ig5oi,i got 5 on it
wats ^,whats up
bstrd,bastard
ttyrs,talk to you really soon
gfyd,go fuck your dad
gfym,go fuck your mom
ijdk,i just don't know
roxorz,rocks
ijdl,i just died laughing
xbl,xbox live
pyfco,put your freaking clothes on
gfys,go fuck yourself
xbf,ex-boyfriend
kmfa,kiss my fucking ass
2g2b4g,to good to be forgotten
l8er,later
haxxor,hacker
pbcakb,problem between chair and keyboard
plmk,please let me know
peanus,penis
bruhh,brother
loxxen,laughing out loud
fotcl,fell off the chair laughing
swafk,sealed with a friendly kiss
lmhao,laughing my hairy ass off
wby,what about you
lmip,lets meet in person
lhao,laughing her ass off
g00g13,google
133t,elite
cmbo,combo
ttbc,try to be cool
3q,thank you
3u,thank you
rukm,are you kidding me
fuctard,fucking retard
1337,elite
upcia,unsolicited pool cue in anus
mkay,ok
suxorz,sucks
s.o.a.b.,son of a bitch
suxors,sucks
skool,school
hrny,horny
jlma,just leave me alone
idkwym,i don't know what you mean
lmoao,laughing my other ass off
qna,question and answer
ch@,chat
pirlos,parent in room looking over shoulder
rotflmfao,rolling on the floor laughing my fucking ass off
limh,laugh in my head
taw,teachers are watching
howdey,hello
tmmrw,tomorrow
chk,check
uhems,you hardly ever make sense
chr,character
chu,you
mpgis,most popular girl in school
iit,is it tight
tisly,that is so last year
cylor,check your local orhtodox rabbi
pker,player killer
wrthls,worthless
pthc,preteen hardcore
y2b,youtube
otflol,on the floor laughing out loud
e.g.,example
wwgf,when we gonna fuck
jtfo,joke the fuck out
lamf,like a motherfucker
afk,away from keyboard
*4u,kiss for you
afg,away from game
usux,you suck
hmwk,homework
newais,anyways
txtyl,text you later
nips,nipples
frag,kill
anlsx,anal sex
hhiad,holy hole in a doughnut
siu,suck it up
fo shizzle,for sure
fmflth,fuck my fucking life to hell
anuda,another
da2,dragon age 2
hax0red,hacked
lf,looking for
sic,said in context
ln,last name
lj,live journal
tsc,that's so cool
lv,love
lt,long time
lq,laughing quietly
tss,that's so sweet
ly,love you
dah,dumb as hell
hwmnbn,he who must not be named
e-ok,electronically ok
fbimcl,fall back in my chair laughing
dwn,down
w/u,with you
l2,learn to
omgosh,oh my gosh
whtever,whatever
l8,late
lfg,looking for group
bw3,buffalo wild wings
lfm,looking for mate
lfl,let's fuck later
lfp,looking for pussy
tranny,transexual
lfr,laughing for real
rep,to represent
cs:s,counter-strike: source
cwm,come with me
h2gtb,have to go to the bathroom
cwd,comment when done
bwt,but when though
oicwydt,"oh, i see what you did there"
yhbt,you've been trolled
ss4l,smoking sista for life
yrbk,yearbook
pcent,percent
s3x,sex.
bamf,bad ass mother fucker
4get,forget
h8ed,hated
cu46,see you for sex
iafh,i am fucking hot
iafi,i am from india
h8er,hater
pots,plain old telephone service
tbph,to be perfectly honest
potc,pirates of the caribbean
uds,you dumb shit
31337,elite
icty,i can't tell you
ogw,oh guess what
udy,you done yet
aabf,as a best friend
udc,you don't care
gsoh,good sense of humor
gokw,god only knows why
omg's,oh my god's
witcha,with you
tgiwjo,thank god it was just once
wasup,what's up
wotevs,whatever
fukr,fucker
fukn,fucking
fukk,fuck
gded,grounded
min,minute
mia,missing in action
mic,microphone
istr,i seem to remember
miq,make it quick
mir,mom in room
miw,mom is watching
p.o.s,parent over shoulder
sfy,speak for yourself
sfw,safe for work
sfu,shut the fuck up
sfr,so fucking random
sfs,so fucking stupid
sfm,so fucking much
sfh,so fucking hot
sfe,safe
jyfihp,jam your finger in her pussy
nsas,no strings attached sex
s4se,sight for sore eyes
lzer,laser
wutcha,what are you
aiws,as i was saying
ttytm,talk to you tomorrow
